category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,state,latitude,longitude,time
1,1.0,1.0,2,4,1560,200,1,1,35.0847,-77.0609,1576618076
1,1.0,1.0,2,4,1560,200,1,1,35.096,-77.0272,1576406273
1,1.0,0.0,2,4,1195,223,2,2,47.616,-122.3275,1577359975
1,1.0,1.0,2,5,942,225,3,3,41.8625,-87.6825,1577359301
1,1.0,0.0,2,4,1250,228,2,2,47.616,-122.3275,1577360296
1,1.0,1.0,2,4,525,230,4,4,35.1211,-89.9517,1577359551
1,1.0,0.0,2,5,1095,231,2,2,47.616,-122.3275,1577360334
1,1.0,0.0,2,4,1695,232,5,5,37.7599,-122.4379,1577358464
1,1.0,1.0,2,5,775,240,6,2,48.7871,-122.4437,1577360135
1,1.0,0.0,2,4,1299,243,2,2,47.616,-122.3275,1577359586
1,1.0,1.0,2,4,705,245,7,6,61.1723,-149.8414,1577359000
1,1.0,0.0,2,4,695,250,8,7,42.5286,-92.4509,1577358970
1,1.0,1.0,2,4,499,250,9,8,38.2006,-84.9469,1577358627
1,1.0,0.0,2,4,1325,253,2,2,47.616,-122.3275,1577360339
1,1.0,0.0,2,4,1400,255,10,2,47.7046,-122.1989,1577360324
1,1.0,0.0,2,4,1995,258,5,5,37.7599,-122.4379,1577358513
1,1.0,1.0,2,5,710,265,11,9,43.0724,-89.4003,1577358725
1,1.0,1.0,2,4,1659,272,12,10,38.9118,-77.0132,1577358754
1,1.0,1.0,2,4,850,273,13,11,39.1471,-86.5136,1577359051
1,1.0,0.0,2,5,1900,275,14,5,33.6019,-117.8637,1577016114
1,1.0,0.0,2,5,892,275,3,3,41.8625,-87.6825,1577359302
1,1.0,1.0,2,4,870,285,7,6,61.1723,-149.8414,1577360387
1,1.0,0.0,2,4,1095,286,3,3,41.8625,-87.6825,1577360156
1,1.0,0.0,2,4,1350,288,2,2,47.616,-122.3275,1577360185
1,1.0,1.0,2,4,690,288,15,12,28.0076,-82.4792,1577015236
1,1.0,0.0,2,4,1099,290,16,13,45.5091,-122.6449,1577359880
1,1.0,1.0,2,5,700,290,17,14,44.9855,-93.3023,1576666463
1,1.0,0.0,2,4,2200,300,18,5,37.4356,-122.134,1577360127
1,1.0,1.0,2,4,1575,300,19,5,34.0628,-118.2754,1568758026
1,1.0,1.0,2,4,1470,300,20,15,39.1723,-76.8514,1568774838
1,1.0,1.0,2,4,995,300,3,3,41.9891,-87.6572,1577359553
1,1.0,1.0,2,4,911,300,3,3,41.8625,-87.6825,1577358589
1,1.0,0.0,2,4,900,300,21,16,30.3054,-97.7497,1577017126
1,1.0,1.0,2,5,795,300,22,12,27.3181,-82.4987,1575418787
1,1.0,1.0,2,4,775,300,23,9,43.0531,-87.9659,1577015786
1,1.0,1.0,2,4,595,300,24,17,39.0744,-108.5228,1577360203
1,1.0,1.0,2,5,590,300,13,11,39.1471,-86.5136,1577359047
1,1.0,1.0,2,4,1195,301,25,18,39.5197,-119.8342,1577358435
1,1.0,1.0,2,4,1094,306,25,18,39.5197,-119.8342,1577358436
1,1.0,0.0,2,4,1099,309,16,13,45.5091,-122.6449,1577360408
1,1.0,0.0,2,4,2195,313,5,5,37.7599,-122.4379,1577358518
1,1.0,1.0,2,4,760,313,26,11,39.7953,-86.1387,1577015158
1,1.0,0.0,2,4,2695,315,5,5,37.7599,-122.4379,1577359148
1,1.0,2.0,2,5,730,315,7,6,61.1723,-149.8414,1577358613
1,1.0,0.0,2,4,659,315,27,8,38.0172,-84.4931,1577360268
1,1.0,1.0,2,4,775,317,28,11,40.3613,-86.9005,1577358839
1,1.0,1.0,2,4,1100,319,3,3,41.8625,-87.6825,1577015588
1,1.0,1.0,2,5,965,320,3,3,41.8625,-87.6825,1577015533
1,1.0,1.0,2,4,845,322,23,9,43.0531,-87.9659,1577360013
